energy_kev,no_cut_counts_per_1kev,score_ge_threshold_counts_per_1kev
149.5,4976,2648
150.5,5037,2747
151.5,5098,2746
152.5,5203,2822
153.5,5131,2865
154.5,5268,2974
155.5,5121,2849
156.5,5230,2889
157.5,5139,2937
158.5,5144,3003
159.5,5094,3000
160.5,5132,3042
161.5,5134,3083
162.5,5100,3143
163.5,5110,3149
164.5,5157,3253
165.5,5206,3277
166.5,5174,3274
167.5,5197,3287
168.5,5347,3412
169.5,5165,3268
170.5,5271,3392
171.5,5301,3453
172.5,5215,3356
173.5,5406,3499
174.5,5411,3611
175.5,5306,3529
176.5,5427,3570
177.5,5513,3747
178.5,5434,3625
179.5,5477,3695
180.5,5531,3742
181.5,5381,3631
182.5,5538,3755
183.5,5528,3760
184.5,5497,3757
185.5,5523,3753
186.5,5543,3756
187.5,5462,3767
188.5,5590,3840
189.5,5457,3821
190.5,5349,3733
191.5,5436,3808
192.5,5347,3776
193.5,5312,3759
194.5,5411,3892
195.5,5281,3740
196.5,5371,3830
197.5,5612,3936
198.5,5465,3885
199.5,5493,3933
200.5,5481,3917
201.5,5440,3928
202.5,5488,3922
203.5,5535,3984
204.5,5424,3952
205.5,5507,3951
206.5,5776,4186
207.5,6241,4511
208.5,7020,5169
209.5,6990,5143
210.5,6694,4943
211.5,5927,4373
212.5,5487,4012
213.5,5215,3835
214.5,5323,3881
215.5,5453,3999
216.5,5232,3830
217.5,5277,3883
218.5,5111,3766
219.5,4970,3676
220.5,5070,3709
221.5,5110,3721
222.5,5079,3728
223.5,4923,3592
224.5,4946,3616
225.5,4928,3607
226.5,5028,3691
227.5,5100,3785
228.5,5176,3840
229.5,5112,3817
230.5,5285,3897
231.5,5591,4130
232.5,5431,4065
233.5,5546,4156
234.5,5820,4275
235.5,7664,5678
236.5,13319,10158
237.5,22849,17703
238.5,30349,23686
239.5,29030,22828
240.5,20262,15851
241.5,12122,9470
242.5,7133,5496
243.5,5133,3949
244.5,4099,3090
245.5,3967,2977
246.5,3817,2865
247.5,3742,2789
248.5,3874,2919
249.5,3706,2758
250.5,3862,2836
251.5,3802,2829
252.5,3830,2877
253.5,3917,2930
254.5,4020,3010
255.5,3880,2828
256.5,3798,2903
257.5,3731,2703
258.5,3749,2776
259.5,3788,2782
260.5,3827,2775
261.5,3819,2724
262.5,3843,2772
263.5,3882,2798
264.5,3853,2769
265.5,3891,2825
266.5,3990,2862
267.5,4184,3008
268.5,4621,3269
269.5,5334,3867
270.5,6147,4484
271.5,6038,4419
272.5,5298,3859
273.5,4461,3226
274.5,4176,2956
275.5,4471,3129
276.5,5054,3643
277.5,5634,4046
278.5,5285,3854
279.5,4608,3314
280.5,4140,2923
281.5,3875,2658
282.5,3695,2593
283.5,3826,2643
284.5,3674,2565
285.5,3736,2603
286.5,3791,2691
287.5,3891,2725
288.5,3773,2639
289.5,3667,2473
290.5,3666,2567
291.5,3621,2496
292.5,3611,2484
293.5,3637,2509
294.5,3601,2535
295.5,3521,2448
296.5,3894,2719
297.5,4555,3213
298.5,5507,3922
299.5,6068,4453
300.5,5332,3853
301.5,4242,2986
302.5,3749,2614
303.5,3363,2320
304.5,3414,2331
305.5,3317,2254
306.5,3354,2291
307.5,3285,2185
308.5,3203,2219
309.5,3258,2204
310.5,3248,2241
311.5,3316,2289
312.5,3228,2159
313.5,3241,2179
314.5,3263,2203
315.5,3346,2266
316.5,3276,2222
317.5,3227,2201
318.5,3372,2292
319.5,3282,2192
320.5,3473,2428
321.5,3443,2333
322.5,3284,2257
323.5,3538,2412
324.5,3818,2657
325.5,4776,3377
326.5,5831,4196
327.5,5718,4139
328.5,4784,3402
329.5,3935,2701
330.5,3676,2502
331.5,3580,2441
332.5,3577,2416
333.5,3836,2606
334.5,4988,3486
335.5,7850,5770
336.5,11410,8457
337.5,12251,9243
338.5,9627,7202
339.5,5958,4366
340.5,4013,2847
341.5,3254,2211
342.5,2844,1893
343.5,2876,1972
344.5,2789,1909
345.5,2702,1804
346.5,2685,1804
347.5,2684,1797
348.5,2755,1836
349.5,2784,1895
350.5,2744,1848
351.5,2764,1866
352.5,2809,1845
353.5,2722,1798
354.5,2699,1813
355.5,2694,1790
356.5,2704,1823
357.5,2662,1780
358.5,2627,1749
359.5,2619,1716
360.5,2693,1778
361.5,2682,1745
362.5,2656,1720
363.5,2587,1686
364.5,2707,1760
365.5,2725,1782
366.5,2690,1764
367.5,2770,1828
368.5,2671,1728
369.5,2654,1684
370.5,2727,1802
371.5,2761,1758
372.5,2721,1760
373.5,2700,1704
374.5,2723,1778
375.5,2713,1761
376.5,2799,1813
377.5,2712,1759
378.5,2741,1735
379.5,2721,1743
380.5,2716,1727
381.5,2691,1656
382.5,2678,1711
383.5,2768,1711
384.5,2730,1707
385.5,2621,1683
386.5,2762,1745
387.5,2735,1760
388.5,2775,1744
389.5,2736,1696
390.5,2749,1685
391.5,2737,1676
392.5,2667,1649
393.5,2757,1715
394.5,2611,1636
395.5,2631,1671
396.5,2698,1671
397.5,2684,1680
398.5,2665,1687
399.5,2601,1627
400.5,2574,1610
401.5,2600,1578
402.5,2517,1581
403.5,2431,1525
404.5,2510,1613
405.5,2632,1715
406.5,3049,2040
407.5,3617,2431
408.5,3896,2669
409.5,3673,2575
410.5,2803,1895
411.5,2372,1576
412.5,2244,1444
413.5,2223,1438
414.5,2230,1424
415.5,2145,1397
416.5,2202,1412
417.5,2095,1364
418.5,2180,1425
419.5,2055,1376
420.5,2049,1348
421.5,2133,1358
422.5,2064,1294
423.5,2052,1250
424.5,2043,1281
425.5,2108,1384
426.5,2105,1336
427.5,1923,1232
428.5,1973,1284
429.5,2045,1288
430.5,2040,1310
431.5,1970,1281
432.5,2020,1308
433.5,2079,1368
434.5,1983,1294
435.5,1960,1252
436.5,1988,1316
437.5,2145,1368
438.5,2099,1384
439.5,2069,1352
440.5,2016,1323
441.5,2010,1314
442.5,1943,1284
443.5,1921,1258
444.5,1927,1247
445.5,1880,1232
446.5,1855,1193
447.5,1960,1238
448.5,1997,1290
449.5,1902,1235
450.5,2044,1376
451.5,2076,1335
452.5,2130,1471
453.5,2102,1404
454.5,2027,1355
455.5,1843,1202
456.5,1853,1168
457.5,1921,1231
458.5,1872,1203
459.5,2228,1462
460.5,2986,2035
