threshold,selected_events,selected_fraction,geometric_mean_pb_improvement,minimum_peak_retention,mean_peak_retention,pooled_net_peak_retention,all_peak_statistics_reliable,sensitivity_geometric_mean_pb_improvement_excluding_209,sensitivity_minimum_peak_retention_excluding_209,sensitivity_mean_peak_retention_excluding_209,sensitivity_statistics_reliable_excluding_209
0.0,2886112,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,True
0.0005,2886112,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,True
0.001,2886112,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,True
0.0015,2886112,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,True
0.002,2886112,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,True
0.0025,2886112,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,True
0.003,2886112,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,True
0.0035,2886100,0.9999958421571997,0.9999949074227517,0.9999490753945467,0.9999949075394546,0.9999968920076288,True,0.9999943415824362,0.9999490753945467,0.9999943417105052,True
0.004,2886059,0.9999816361942988,1.000044961252537,0.9999844151993851,1.0000035398548095,1.000003238261815,True,1.0000499570720465,0.9999844151993851,1.0000039331720105,True
0.0045000000000000005,2885912,0.9999307026199954,1.0002686407678871,0.999932332776548,1.0000673015770294,1.0000094455341693,True,1.0002984941965485,0.999932332776548,1.0000747795300329,True
0.005,2885673,0.9998478922508898,1.0003776413759493,0.9998790990685482,1.0000495556460398,0.9999928638889646,True,1.0004196103311198,0.9998790990685482,1.0000550618289332,True
0.0055,2885322,0.9997262753489816,1.0007449684078011,0.9996224674273372,1.0000332828906053,0.9999941082034445,True,1.0008277769256724,0.9996224674273372,1.0000369809895615,True
0.006,2884843,0.9995603081238704,1.001440020392457,0.9997396717244479,1.000092727229415,1.0000020238314342,True,1.0016001506073322,0.9997396717244479,1.0001030302549054,True
0.006500000000000001,2884376,0.9993984987415596,1.0020737112703204,0.9996805873569459,1.0001884995157404,1.000055454195952,True,1.002304388920034,0.9996805873569459,1.0002094439063782,True
0.007,2883871,0.9992235228570479,1.002560334297286,0.9995144859081492,1.0002407596389176,1.0000570001081408,True,1.0028452202281415,0.9995144859081492,1.0002675107099084,True
0.0075,2883398,0.9990596345533368,1.0028486406051373,0.999744288057915,1.0002067796450138,1.0000640804324559,True,1.0031656567164062,0.999744288057915,1.0002297551611266,True
0.008,2882975,0.998913070594627,1.0030943072878515,0.9997279434261723,1.0002131604415265,1.0000693216235021,True,1.003438709700821,0.9997279434261723,1.0002368449350294,True
0.0085,2882548,0.998765120688317,1.003212458596061,0.9997186757318461,1.0001300339002455,1.000048510433321,True,1.0035700348648964,0.9997186757318461,1.0001444821113838,True
0.009000000000000001,2882175,0.9986358810746083,1.0032685054838797,0.999042997208209,1.0000997876204045,1.0000423456363083,True,1.003632331574558,0.999042997208209,1.0001108751337826,True
0.0095,2881821,0.9985132247120001,1.0035825516935284,0.9989814392644125,1.0001476310925657,1.0000652110989108,True,1.0039814044172335,0.9989814392644125,1.0001640345472953,True
0.01,2881479,0.9983947261921922,1.0036563712504252,0.9985914562879341,1.0001280684375797,1.0000451409282747,True,1.004063459080229,0.9985914562879341,1.0001422982639774,True
