anchor_set,operating_point,threshold,selected_fraction,geometric_mean_pb_improvement,minimum_peak_retention,mean_peak_retention
all_10_usable_peaks,minimum_retention_90pct,0.353,0.8864960888558725,1.1031515100373672,0.9002558306823696,0.9415065594550855
all_10_usable_peaks,minimum_retention_80pct,0.4415,0.7048309282522647,1.1993791718987985,0.8003433566329412,0.8207835370648379
all_10_usable_peaks,minimum_retention_70pct,0.47500000000000003,0.6111817559401714,1.2456242706039076,0.7002192434778874,0.7500814150821369
all_10_usable_peaks,minimum_retention_50pct,0.5035000000000001,0.5253690778459048,1.2760733295349727,0.5595828236067557,0.6746500735670287
all_10_usable_peaks,minimum_retention_30pct,0.5035000000000001,0.5253690778459048,1.2760733295349727,0.5595828236067557,0.6746500735670287
all_10_usable_peaks,minimum_retention_10pct,0.5035000000000001,0.5253690778459048,1.2760733295349727,0.5595828236067557,0.6746500735670287
all_10_usable_peaks,minimum_retention_00pct,0.5035000000000001,0.5253690778459048,1.2760733295349727,0.5595828236067557,0.6746500735670287
sensitivity_excluding_209_kev,minimum_retention_90pct,0.353,0.8864960888558725,1.1135824674568084,0.9002558306823696,0.9377439918854906
sensitivity_excluding_209_kev,minimum_retention_80pct,0.4405,0.7074697724828419,1.2172120375745634,0.8025190176865548,0.8220926397897296
sensitivity_excluding_209_kev,minimum_retention_70pct,0.483,0.5874422059850761,1.2793700372512422,0.700576367007698,0.7379527044037151
sensitivity_excluding_209_kev,minimum_retention_50pct,0.5045000000000001,0.5223210325864,1.303944469824041,0.609534210609076,0.6852211442229954
sensitivity_excluding_209_kev,minimum_retention_30pct,0.5045000000000001,0.5223210325864,1.303944469824041,0.609534210609076,0.6852211442229954
sensitivity_excluding_209_kev,minimum_retention_10pct,0.5045000000000001,0.5223210325864,1.303944469824041,0.609534210609076,0.6852211442229954
sensitivity_excluding_209_kev,minimum_retention_00pct,0.5045000000000001,0.5223210325864,1.303944469824041,0.609534210609076,0.6852211442229954
