reference_energy_kev,observed_centroid_kev,model,acceptance,score_threshold,events,roi_counts,estimated_background_counts,net_peak_counts,peak_to_background,pb_improvement_factor_vs_no_cut,net_peak_retention_vs_no_cut,requested_weighted_acceptance,actual_weighted_acceptance
238.632,238.90303771420758,ds_cnn,none,,2886112,131926.62413489295,31097.100310976966,100829.52382391598,3.2424091897830154,1.0,1.0,,
238.632,238.90303771420758,ds_cnn,99pct,0.24029693007469177,2820569,131544.18878531503,30753.730171284846,100790.45861403018,3.2773409291383957,1.0107733901894467,0.999612561793369,0.99,0.9900345336617032
238.632,238.90303771420758,ds_cnn,95pct,0.3131766617298126,2686938,130879.80464348682,30536.8065196168,100342.99812387001,3.2859689522350615,1.01343438162873,0.9951747694366224,0.95,0.9500084827457328
238.632,238.90303771420758,ds_cnn,90pct,0.3610769510269165,2524340,128053.04046884493,29704.07556124333,98348.9649076016,3.310958615925531,1.0211415099483798,0.9753984862544198,0.9,0.9000398620714374
238.632,238.90303771420758,ds_cnn,80pct,0.4259090721607208,2149368,115330.84668243944,26420.708652139216,88910.13803030022,3.3651685577745245,1.0378605415930628,0.881786749142729,0.8,0.8000097830110133
238.632,238.90303771420758,ds_cnn,50pct,0.5535972118377686,1078466,49675.640846592185,10814.921581640432,38860.71926495175,3.5932502119037344,1.1082038082134222,0.38541012385237794,0.5,0.5000435097534494
238.632,238.90303771420758,ds_cnn,30pct,0.6198919415473938,573003,16796.5810978264,3531.3083848264164,13265.272712999986,3.75647529680477,1.158544488660346,0.13156139402349895,0.3,0.3000493794488807
238.632,238.90303771420758,ds_cnn,10pct,0.705547571182251,169549,757.4766404812804,142.4600837102744,615.016556771006,4.317114947242238,1.3314528471130882,0.0060995681963652085,0.1,0.10000152576539618
338.32,337.27563919592376,ds_cnn,none,,2886112,50082.23275934525,18333.788692366372,31748.44406697888,1.7316903014267835,1.0,1.0,,
338.32,337.27563919592376,ds_cnn,99pct,0.24029693007469177,2820569,49838.818798671375,18087.438763704922,31751.380034966453,1.755438149633447,1.0137136808972695,1.0000924759645349,0.99,0.9900345336617032
338.32,337.27563919592376,ds_cnn,95pct,0.3131766617298126,2686938,48857.21316473058,17554.459018377416,31302.754146353163,1.783179653305347,1.0297335798647946,0.9859618342339721,0.95,0.9500084827457328
338.32,337.27563919592376,ds_cnn,90pct,0.3610769510269165,2524340,46762.88852266943,16562.141110880817,30200.747411788616,1.823480865764853,1.053006339680046,0.95125125968614,0.9,0.9000398620714374
338.32,337.27563919592376,ds_cnn,80pct,0.4259090721607208,2149368,41202.90270879717,14168.446304162164,27034.456404635006,1.9080748745678124,1.1018568811037985,0.8515206712997054,0.8,0.8000097830110133
338.32,337.27563919592376,ds_cnn,50pct,0.5535972118377686,1078466,22231.000009885818,6935.6185214024745,15295.381488483345,2.205337770709802,1.2735174233480249,0.4817679082544981,0.5,0.5000435097534494
338.32,337.27563919592376,ds_cnn,30pct,0.6198919415473938,573003,11293.085402248043,3391.286446053866,7901.798956194178,2.330029940522656,1.345523468372425,0.24888775461008278,0.3,0.3000493794488807
338.32,337.27563919592376,ds_cnn,10pct,0.705547571182251,169549,2008.9614754929241,585.5282674069792,1423.433208085945,2.431023892987507,1.4038444928544815,0.04483473914762451,0.1,0.10000152576539618
583.187,583.476725309896,ds_cnn,none,,2886112,90813.30495683706,10153.955259719072,80659.34969711798,7.943638477224251,1.0,1.0,,
583.187,583.476725309896,ds_cnn,99pct,0.24029693007469177,2820569,90066.7130147697,9853.309750669863,80213.40326409983,8.140757298190756,1.024814676741858,0.9944712369403831,0.99,0.9900345336617032
583.187,583.476725309896,ds_cnn,95pct,0.3131766617298126,2686938,86427.02997039811,8967.013178291603,77460.01679210651,8.638329759526929,1.0874525300080655,0.9603352504449242,0.95,0.9500084827457328
583.187,583.476725309896,ds_cnn,90pct,0.3610769510269165,2524340,82382.26066380885,8229.335226107882,74152.92543770096,9.010803837769053,1.1343421359877524,0.9193345311628579,0.9,0.9000398620714374
583.187,583.476725309896,ds_cnn,80pct,0.4259090721607208,2149368,74547.51207056636,6950.398662340761,67597.1134082256,9.725645490594088,1.2243313336173531,0.8380567617028643,0.8,0.8000097830110133
583.187,583.476725309896,ds_cnn,50pct,0.5535972118377686,1078466,51088.79546044929,4106.086770206622,46982.70869024267,11.442210386576527,1.4404243621337087,0.582483107868664,0.5,0.5000435097534494
583.187,583.476725309896,ds_cnn,30pct,0.6198919415473938,573003,33940.33347905365,2444.251993520534,31496.081485533112,12.885775103805193,1.6221502452246384,0.39048271035910037,0.3,0.3000493794488807
583.187,583.476725309896,ds_cnn,10pct,0.705547571182251,169549,13714.582706000907,866.0256648359884,12848.557041164919,14.836231260650031,1.8676871188420776,0.15929408170797596,0.1,0.10000152576539618
911.204,911.3249278028828,ds_cnn,none,,2886112,66584.87545698775,4269.360478338251,62315.5149786495,14.59598347219075,1.0,1.0,,
911.204,911.3249278028828,ds_cnn,99pct,0.24029693007469177,2820569,66033.36142309749,4116.328647026121,61917.03277607137,15.041809846938216,1.0305444559865995,0.9936054094599931,0.99,0.9900345336617032
911.204,911.3249278028828,ds_cnn,95pct,0.3131766617298126,2686938,63831.43725478808,3849.3969047154105,59982.04035007267,15.58219166139928,1.067567094131582,0.9625538739529581,0.95,0.9500084827457328
911.204,911.3249278028828,ds_cnn,90pct,0.3610769510269165,2524340,61461.51913877862,3577.027876917687,57884.49126186093,16.18228687435889,1.1086808165541207,0.9288937318690742,0.9,0.9000398620714374
911.204,911.3249278028828,ds_cnn,80pct,0.4259090721607208,2149368,57061.11911788238,3187.03061084514,53874.08850703724,16.90416412183467,1.1581380695615078,0.8645373230967527,0.8,0.8000097830110133
911.204,911.3249278028828,ds_cnn,50pct,0.5535972118377686,1078466,42600.30503783427,2249.8919139265836,40350.41312390768,17.93437848020301,1.2287201142953328,0.6475179277220531,0.5,0.5000435097534494
911.204,911.3249278028828,ds_cnn,30pct,0.6198919415473938,573003,29963.92373825486,1518.7576999511236,28445.166038303738,18.729232476792813,1.2831771502397906,0.4564700467941186,0.3,0.3000493794488807
911.204,911.3249278028828,ds_cnn,10pct,0.705547571182251,169549,13453.11846708181,656.9877908706737,12796.130676211136,19.476968756532067,1.3344060572308059,0.20534421773767475,0.1,0.10000152576539618
968.971,968.7684317442973,ds_cnn,none,,2886112,49828.505133168976,4155.931524940776,45672.5736082282,10.989731985268707,1.0,1.0,,
968.971,968.7684317442973,ds_cnn,99pct,0.24029693007469177,2820569,49345.84087617953,3996.2257234289423,45349.615152750586,11.348111516042835,1.0326103977107468,0.9929288316824907,0.99,0.9900345336617032
968.971,968.7684317442973,ds_cnn,95pct,0.3131766617298126,2686938,47713.79752203083,3663.6534978265595,44050.144024204266,12.023556280728172,1.0940718387714337,0.9644769397507382,0.95,0.9500084827457328
968.971,968.7684317442973,ds_cnn,90pct,0.3610769510269165,2524340,45964.11846177027,3402.8967227220132,42561.221739048255,12.507350415560976,1.138094216703972,0.9318770188895286,0.9,0.9000398620714374
968.971,968.7684317442973,ds_cnn,80pct,0.4259090721607208,2149368,42515.20270311227,2996.2298441771895,39518.97285893508,13.189566526658636,1.2001718098620349,0.8652670462129484,0.8,0.8000097830110133
968.971,968.7684317442973,ds_cnn,50pct,0.5535972118377686,1078466,31726.044870230995,2019.341092171793,29706.703778059204,14.711087638052156,1.3386211472465186,0.6504276293444378,0.5,0.5000435097534494
968.971,968.7684317442973,ds_cnn,30pct,0.6198919415473938,573003,22324.8611866723,1333.5235061895198,20991.337680482782,15.741258090353828,1.4323605081046882,0.4596048792989642,0.3,0.3000493794488807
968.971,968.7684317442973,ds_cnn,10pct,0.705547571182251,169549,9713.6323582689,549.0423660231468,9164.589992245754,16.69195413575678,1.518868172411454,0.2006584973918504,0.1,0.10000152576539618
1588.19,1590.1261445246755,ds_cnn,none,,2886112,12685.117968564438,2598.1545716019477,10086.96339696249,3.8823569264176445,1.0,1.0,,
1588.19,1590.1261445246755,ds_cnn,99pct,0.24029693007469177,2820569,12144.645298505911,2471.211744684628,9673.433553821284,3.9144494900641518,1.0082662579084711,0.9590035348729694,0.99,0.9900345336617032
